id,name,type,rarity,cost,target,damage,hits,block,draw,energy,applies,exhaust,ethereal,innate,retain,special,upgrade_of
Bash,Bash,Attack,Starter,2,Enemy,8,1,0,0,0,Vulnerable:2@Enemy,FALSE,FALSE,FALSE,FALSE,n/a,n/a
BashPlus,Bash+,Attack,Starter,2,Enemy,10,1,0,0,0,Vulnerable:3@Enemy,FALSE,FALSE,FALSE,FALSE,n/a,Bash
Strike,Strike,Attack,Starter,1,Enemy,6,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,n/a
StrikePlus,Strike+,Attack,Starter,1,Enemy,9,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,Strike
Defend,Defend,Skill,Starter,1,None,0,0,5,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,n/a
DefendPlus,Defend+,Skill,Starter,1,None,0,0,8,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,Defend
Anger,Anger,Attack,Common,0,Enemy,6,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Add a copy of this card to your discard pile.,n/a
AngerPlus,Anger+,Attack,Common,0,Enemy,8,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Add a copy of this card to your discard pile.,Anger
Armaments,Armaments,Skill,Common,1,None,0,0,5,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Upgrade a card in your hand for the rest of combat,n/a
ArmamentsPlus,Armaments+,Skill,Common,1,None,0,0,5,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Upgrade all cards in your hand for the rest of combat,Armaments
BodySlam,Body Slam,Attack,Common,1,Enemy,0,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Deal damage equal to your current block,n/a
BodySlamPlus,Body Slam+,Attack,Common,0,Enemy,0,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Deal damage equal to your current block,BodySlam
Clash,Clash,Attack,Common,0,Enemy,14,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Can only be played if every card in your hand is an Attack,n/a
ClashPlus,Clash+,Attack,Common,0,Enemy,18,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Can only be played if every card in your hand is an Attack,Clash
Cleave,Cleave,Attack,Common,1,AllEnemies,8,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,n/a
CleavePlus,Cleave+,Attack,Common,1,AllEnemies,11,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,n/a,Cleave
Clothesline,Clothesline,Attack,Common,2,Enemy,12,1,0,0,0,Weak:2@Enemy,FALSE,FALSE,FALSE,FALSE,n/a,n/a
ClotheslinePlus,Clothesline+,Attack,Common,2,Enemy,14,1,0,0,0,Weak:3@Enemy,FALSE,FALSE,FALSE,FALSE,n/a,Clothesline
Flex,Flex,Skill,Common,0,Self,0,0,0,0,0,Strength:2@Self,FALSE,FALSE,FALSE,FALSE,n/a,n/a
FlexPlus,Flex+,Skill,Common,0,Self,0,0,0,0,0,Strength:4@Self,FALSE,FALSE,FALSE,FALSE,n/a,Flex
Havoc,Havoc,Skill,Common,1,None,0,0,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Play the top card of your draw pile and exhaust it,n/a
HavocPlus,Havoc+,Skill,Common,0,None,0,0,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Play the top card of your draw pile and exhaust it,Havoc
Headbutt,Headbutt,Attack,Common,1,Enemy,9,1,0,0,0,n/a,FALSE,FALSE,FALSE,FALSE,Put a card from your discard pile on top of your draw pile,n/a
